ref_id,security_id,cusip,isin,symbol,security_description,asset_class,market,currency,settlement_cycle,default_settlement_location,eligible_for_delivery,account_id,account_type,book,legal_entity,counterparty_id,counterparty_name,counterparty_type,standard_instruction_type,data_as_of_ts,confidence_score
REF-SEC-001,SEC-US-0001,9ZZ0001A1,US9ZZ0001A10,ALPH,Alpha Corp Common Stock,Equity,US,USD,T+1,DTC,Y,ACC-DLV-001,Firm Delivery,US_EQ_DELIVERY,FirmBrokerDealer,CP-ALPHA,Counterparty Alpha,Broker,Delivery vs Payment,2026-05-18T14:30:00Z,0.99
REF-SEC-002,SEC-US-0002,9ZZ0002B2,US9ZZ0002B20,BETA,Beta Financial Common Stock,Equity,US,USD,T+1,DTC,Y,ACC-DLV-002,Firm Delivery,US_EQ_DELIVERY,FirmBrokerDealer,CP-BRAVO,Counterparty Bravo,Custodian,Delivery vs Payment,2026-05-18T14:30:00Z,0.98
REF-SEC-003,SEC-US-0003,9ZZ0003C3,US9ZZ0003C30,GAMM,Gamma Holdings Common Stock,Equity,US,USD,T+1,DTC,Y,ACC-DLV-003,Firm Delivery,US_EQ_DELIVERY,FirmBrokerDealer,CP-CHARLIE,Counterparty Charlie,Broker,Delivery vs Payment,2026-05-18T14:30:00Z,0.99
REF-SEC-004,SEC-US-0004,9ZZ0004D4,US9ZZ0004D40,DELT,Delta Tech Common Stock,Equity,US,USD,T+1,DTC,Y,ACC-DLV-004,Firm Delivery,US_EQ_DELIVERY,FirmBrokerDealer,CP-DELTA,Counterparty Delta,Broker,Delivery vs Payment,2026-05-18T14:30:00Z,0.99
REF-SEC-005,SEC-US-0005,9ZZ0005E5,US9ZZ0005E50,EPSI,Epsilon Industrials Common Stock,Equity,US,USD,T+1,DTC,Y,ACC-DLV-005,Firm Delivery,US_EQ_DELIVERY,FirmBrokerDealer,CP-ECHO,Counterparty Echo,Broker,Delivery vs Payment,2026-05-18T14:30:00Z,0.98
REF-SEC-006,SEC-US-0006,9ZZ0006F6,US9ZZ0006F60,ZETA,Zeta Healthcare Common Stock,Equity,US,USD,T+1,DTC,Y,ACC-DLV-006,Firm Delivery,US_EQ_DELIVERY,FirmBrokerDealer,CP-FOXTROT,Counterparty Foxtrot,Broker,Delivery vs Payment,2026-05-18T14:30:00Z,0.97
REF-SEC-007,SEC-US-0007,9ZZ0007G7,US9ZZ0007G70,ETTA,Eta Utilities Common Stock,Equity,US,USD,T+1,DTC,Y,ACC-REC-001,Firm Receive,US_EQ_RECEIVE,FirmBrokerDealer,CP-GOLF,Counterparty Golf,Custodian,Receive vs Payment,2026-05-18T14:30:00Z,0.99
REF-SEC-008,SEC-US-0008,9ZZ0008H8,US9ZZ0008H80,THET,Theta Retail Common Stock,Equity,US,USD,T+1,DTC,Y,ACC-DLV-007,Firm Delivery,US_EQ_DELIVERY,FirmBrokerDealer,CP-HOTEL,Counterparty Hotel,Broker,Delivery vs Payment,2026-05-18T14:30:00Z,0.99
REF-SEC-009,SEC-US-0009,9ZZ0009I9,US9ZZ0009I90,IOTA,Iota Energy Common Stock,Equity,US,USD,T+1,DTC,Y,ACC-DLV-008,Firm Delivery,US_EQ_DELIVERY,FirmBrokerDealer,CP-INDIA,Counterparty India,Broker,Delivery vs Payment,2026-05-18T14:30:00Z,0.97
REF-SEC-010,SEC-US-0010,9ZZ0010J0,US9ZZ0010J00,KAPP,Kappa Media Common Stock,Equity,US,USD,T+1,DTC,Y,ACC-DLV-009,Firm Delivery,US_EQ_DELIVERY,FirmBrokerDealer,CP-JULIET,Counterparty Juliet,Broker,Delivery vs Payment,2026-05-18T14:30:00Z,0.96
